index  confidence   rules
 199   0.875        ['morning', 'Friday']=>['weekday']
 200   0.872        ['Sunday', 'weekend', 'evening']=>['April']
 201   0.869        ['morning', 'September']=>['weekday']
 202   0.869        ['Saturday', 'afternoon']=>['weekend']
 203   0.861        ['Thursday', 'evening']=>['weekday']
 204   0.851        ['Tuesday']=>['weekday']
 205   0.844        ['August', 'afternoon', 'Friday']=>['weekend']
 206   0.844        ['March', 'evening']=>['weekday']
 207   0.839        ['August', 'morning', 'weekend']=>['Friday']
 208   0.839        ['March', 'Saturday']=>['weekend']
 209   0.825        ['March', 'Saturday', 'afternoon']=>['weekend']
 210   0.825        ['August', 'Tuesday']=>['afternoon']
 211   0.825        ['August', 'weekend', 'Tuesday']=>['afternoon']
 212   0.825        ['August', 'Tuesday']=>['weekend', 'afternoon']
 213   0.825        ['Tuesday', 'afternoon']=>['weekday']
 214   0.824        ['evening', 'Friday']=>['weekday']
 215   0.821        ['April', 'evening']=>['weekend']
 216   0.813        ['Monday', 'weekend', 'afternoon']=>['April']
 217   0.811        ['Sunday', 'afternoon']=>['weekend']
 218   0.810        ['April', 'evening']=>['Sunday']
 219   0.810        ['April', 'evening']=>['Sunday', 'weekend']
 220   0.803        ['Sunday']=>['weekend']
 221   0.797        ['morning', 'Sunday']=>['weekend']
 222   0.792        ['morning', 'July']=>['weekday']
 223   0.789        ['morning', 'Sunday', 'October']=>['weekend']
 224   0.788        ['Monday', 'weekend']=>['April']
 225   0.769        ['morning', 'May', 'weekend']=>['Wednesday']
 226   0.756        ['August', 'Friday']=>['weekend']
 227   0.748        ['Monday', 'morning', 'weekend']=>['April']
 228   0.746        ['July']=>['weekday']
 229   0.738        ['August', 'Wednesday']=>['afternoon']
 230   0.738        ['August', 'weekday', 'Wednesday']=>['afternoon']
 231   0.738        ['August', 'Wednesday']=>['weekday', 'afternoon']
 232   0.736        ['Sunday', 'evening']=>['weekend']
 233   0.734        ['June', 'afternoon']=>['weekday']
 234   0.733        ['June']=>['weekday']
 235   0.733        ['weekday', 'May', 'afternoon']=>['Thursday']
 236   0.732        ['weekday', 'May']=>['Thursday']
 237   0.731        ['morning', 'June']=>['weekday']
 238   0.723        ['January', 'evening']=>['weekday']
 239   0.723        ['morning', 'November', 'Friday']=>['weekday']
 240   0.722        ['December', 'evening']=>['weekday']
 241   0.720        ['Saturday', 'evening']=>['weekend']
 242   0.720        ['March', 'morning']=>['weekday']
 243   0.720        ['March']=>['weekday']
 244   0.718        ['Wednesday', 'afternoon']=>['weekday']
 245   0.715        ['March', 'afternoon']=>['weekday']
 246   0.712        ['August', 'weekday', 'Friday']=>['morning']
 247   0.709        ['weekday', 'morning', 'May']=>['Thursday']
 248   0.705        ['Sunday', 'October']=>['weekend']
 249   0.701        ['May', 'weekend']=>['Wednesday']
