index  confidence   rules
 169   1.000        ['weekend', 'June', 'morning']=>['Saturday']
 170   1.000        ['July', 'afternoon', 'Tuesday']=>['weekday']
 171   1.000        ['March', 'Tuesday', 'morning']=>['weekday']
 172   1.000        ['February', 'Saturday', 'afternoon']=>['weekend']
 173   1.000        ['December', 'afternoon', 'Tuesday']=>['weekday']
 174   1.000        ['weekend', 'Thursday', 'morning']=>['November']
 175   1.000        ['August', 'Wednesday', 'morning']=>['weekday']
 176   1.000        ['Sunday', 'July', 'morning']=>['weekday']
 177   1.000        ['Sunday', 'March', 'morning']=>['weekend']
 178   1.000        ['January', 'Thursday', 'afternoon']=>['weekday']
 179   1.000        ['August', 'Wednesday', 'afternoon']=>['weekday']
 180   1.000        ['Sunday', 'January', 'morning']=>['weekend']
 181   1.000        ['December', 'Thursday', 'morning']=>['weekday']
 182   0.986        ['April', 'evening', 'weekend']=>['Sunday']
 183   0.980        ['Monday', 'evening']=>['weekday']
 184   0.932        ['Thursday', 'morning']=>['weekday']
 185   0.931        ['Thursday', 'afternoon']=>['weekday']
 186   0.929        ['Thursday']=>['weekday']
 187   0.908        ['Saturday', 'morning']=>['weekend']
 188   0.894        ['Monday', 'morning']=>['weekday']
 189   0.893        ['February', 'evening']=>['weekday']
 190   0.893        ['Monday']=>['weekday']
 191   0.890        ['afternoon', 'September']=>['weekday']
 192   0.889        ['Monday', 'afternoon']=>['weekday']
 193   0.884        ['Saturday']=>['weekend']
 194   0.884        ['September']=>['weekday']
 195   0.882        ['Friday', 'afternoon']=>['weekday']
 196   0.881        ['Tuesday', 'morning']=>['weekday']
 197   0.876        ['March', 'Saturday', 'morning']=>['weekend']
 198   0.875        ['Friday']=>['weekday']
 199   0.875        ['Friday', 'morning']=>['weekday']
 200   0.872        ['Sunday', 'evening', 'weekend']=>['April']
 201   0.869        ['September', 'morning']=>['weekday']
 202   0.869        ['Saturday', 'afternoon']=>['weekend']
 203   0.861        ['evening', 'Thursday']=>['weekday']
 204   0.851        ['Tuesday']=>['weekday']
 205   0.844        ['August', 'Friday', 'afternoon']=>['weekend']
 206   0.844        ['evening', 'March']=>['weekday']
 207   0.839        ['August', 'weekend', 'morning']=>['Friday']
 208   0.839        ['March', 'Saturday']=>['weekend']
 209   0.825        ['March', 'Saturday', 'afternoon']=>['weekend']
 210   0.825        ['August', 'Tuesday']=>['afternoon']
 211   0.825        ['August', 'weekend', 'Tuesday']=>['afternoon']
 212   0.825        ['August', 'Tuesday']=>['weekend', 'afternoon']
 213   0.825        ['afternoon', 'Tuesday']=>['weekday']
 214   0.824        ['evening', 'Friday']=>['weekday']
 215   0.821        ['evening', 'April']=>['weekend']
 216   0.813        ['Monday', 'weekend', 'afternoon']=>['April']
 217   0.811        ['Sunday', 'afternoon']=>['weekend']
 218   0.810        ['evening', 'April']=>['Sunday']
 219   0.810        ['evening', 'April']=>['Sunday', 'weekend']
 220   0.803        ['Sunday']=>['weekend']
 221   0.797        ['Sunday', 'morning']=>['weekend']
 222   0.792        ['July', 'morning']=>['weekday']
 223   0.789        ['Sunday', 'October', 'morning']=>['weekend']
 224   0.788        ['Monday', 'weekend']=>['April']
 225   0.769        ['weekend', 'May', 'morning']=>['Wednesday']
 226   0.756        ['August', 'Friday']=>['weekend']
 227   0.748        ['Monday', 'weekend', 'morning']=>['April']
 228   0.746        ['July']=>['weekday']
 229   0.738        ['August', 'Wednesday']=>['afternoon']
 230   0.738        ['Wednesday', 'August', 'weekday']=>['afternoon']
 231   0.738        ['August', 'Wednesday']=>['weekday', 'afternoon']
 232   0.736        ['Sunday', 'evening']=>['weekend']
 233   0.734        ['June', 'afternoon']=>['weekday']
 234   0.733        ['June']=>['weekday']
 235   0.733        ['May', 'weekday', 'afternoon']=>['Thursday']
 236   0.732        ['May', 'weekday']=>['Thursday']
 237   0.731        ['June', 'morning']=>['weekday']
 238   0.723        ['January', 'evening']=>['weekday']
 239   0.723        ['Friday', 'November', 'morning']=>['weekday']
 240   0.722        ['December', 'evening']=>['weekday']
 241   0.720        ['evening', 'Saturday']=>['weekend']
 242   0.720        ['March', 'morning']=>['weekday']
 243   0.720        ['March']=>['weekday']
 244   0.718        ['Wednesday', 'afternoon']=>['weekday']
 245   0.715        ['March', 'afternoon']=>['weekday']
 246   0.712        ['August', 'Friday', 'weekday']=>['morning']
 247   0.709        ['May', 'weekday', 'morning']=>['Thursday']
 248   0.705        ['Sunday', 'October']=>['weekend']
 249   0.701        ['weekend', 'May']=>['Wednesday']
