index  confidence   rules
 144   1.000        ['June', 'afternoon', 'weekend']=>['Saturday']
 145   1.000        ['weekend', 'September', 'morning']=>['Monday']
 146   1.000        ['Monday', 'October', 'afternoon']=>['weekday']
 147   1.000        ['Sunday', 'morning', 'June']=>['weekday']
 148   1.000        ['Sunday', 'afternoon', 'February']=>['weekend']
 149   1.000        ['Monday', 'January', 'morning']=>['weekday']
 150   1.000        ['November', 'Wednesday', 'afternoon']=>['weekday']
 151   1.000        ['June', 'morning', 'weekend']=>['Saturday']
 152   1.000        ['Saturday', 'July', 'afternoon']=>['weekend']
 153   1.000        ['weekend', 'afternoon', 'July']=>['Saturday']
 154   1.000        ['December', 'Wednesday', 'morning']=>['weekday']
 155   1.000        ['Friday', 'morning', 'February']=>['weekday']
 156   1.000        ['March', 'afternoon', 'Tuesday']=>['weekday']
 157   1.000        ['Monday', 'afternoon', 'July']=>['weekday']
 158   1.000        ['Thursday', 'June', 'morning']=>['weekday']
 159   1.000        ['Saturday', 'morning', 'February']=>['weekend']
 160   1.000        ['August', 'Wednesday', 'morning']=>['weekday']
 161   1.000        ['Thursday', 'March', 'afternoon']=>['weekday']
 162   1.000        ['Thursday', 'weekend', 'morning']=>['November']
 163   1.000        ['afternoon', 'Friday', 'February']=>['weekday']
 164   1.000        ['November', 'Saturday', 'afternoon']=>['weekend']
 165   1.000        ['March', 'afternoon', 'Friday']=>['weekday']
 166   1.000        ['October', 'Wednesday', 'morning']=>['weekend']
 167   1.000        ['January', 'Saturday', 'morning']=>['weekend']
 168   1.000        ['November', 'Wednesday', 'morning']=>['weekday']
 169   1.000        ['Tuesday', 'May', 'morning']=>['weekend']
 170   1.000        ['December', 'Saturday', 'afternoon']=>['weekend']
 171   1.000        ['afternoon', 'July', 'Tuesday']=>['weekday']
 172   1.000        ['Monday', 'May', 'morning']=>['weekday']
 173   1.000        ['September', 'Saturday', 'morning']=>['weekday']
 174   1.000        ['May', 'afternoon', 'Tuesday']=>['weekend']
 175   1.000        ['Monday', 'March', 'morning']=>['weekday']
 176   1.000        ['May', 'Wednesday', 'morning']=>['weekend']
 177   1.000        ['Thursday', 'January', 'morning']=>['weekday']
 178   1.000        ['Thursday', 'June', 'afternoon']=>['weekday']
 179   1.000        ['Saturday', 'February', 'afternoon']=>['weekend']
 180   1.000        ['Thursday', 'weekend', 'afternoon']=>['November']
 181   1.000        ['Monday', 'November', 'afternoon']=>['weekday']
 182   0.986        ['evening', 'April', 'weekend']=>['Sunday']
 183   0.980        ['Monday', 'evening']=>['weekday']
 184   0.932        ['Thursday', 'morning']=>['weekday']
 185   0.931        ['Thursday', 'afternoon']=>['weekday']
 186   0.929        ['Thursday']=>['weekday']
 187   0.908        ['Saturday', 'morning']=>['weekend']
 188   0.894        ['Monday', 'morning']=>['weekday']
 189   0.893        ['evening', 'February']=>['weekday']
 190   0.893        ['Monday']=>['weekday']
 191   0.890        ['September', 'afternoon']=>['weekday']
 192   0.889        ['Monday', 'afternoon']=>['weekday']
 193   0.884        ['Saturday']=>['weekend']
 194   0.884        ['September']=>['weekday']
 195   0.882        ['afternoon', 'Friday']=>['weekday']
 196   0.881        ['Tuesday', 'morning']=>['weekday']
 197   0.876        ['March', 'Saturday', 'morning']=>['weekend']
 198   0.875        ['Friday']=>['weekday']
 199   0.875        ['Friday', 'morning']=>['weekday']
 200   0.872        ['Sunday', 'evening', 'weekend']=>['April']
 201   0.869        ['September', 'morning']=>['weekday']
 202   0.869        ['Saturday', 'afternoon']=>['weekend']
 203   0.861        ['Thursday', 'evening']=>['weekday']
 204   0.851        ['Tuesday']=>['weekday']
 205   0.844        ['August', 'afternoon', 'Friday']=>['weekend']
 206   0.844        ['evening', 'March']=>['weekday']
 207   0.839        ['weekend', 'August', 'morning']=>['Friday']
 208   0.839        ['March', 'Saturday']=>['weekend']
 209   0.825        ['March', 'Saturday', 'afternoon']=>['weekend']
 210   0.825        ['August', 'Tuesday']=>['afternoon']
 211   0.825        ['weekend', 'August', 'Tuesday']=>['afternoon']
 212   0.825        ['August', 'Tuesday']=>['weekend', 'afternoon']
 213   0.825        ['afternoon', 'Tuesday']=>['weekday']
 214   0.824        ['evening', 'Friday']=>['weekday']
 215   0.821        ['evening', 'April']=>['weekend']
 216   0.813        ['Monday', 'weekend', 'afternoon']=>['April']
 217   0.811        ['Sunday', 'afternoon']=>['weekend']
 218   0.810        ['evening', 'April']=>['Sunday']
 219   0.810        ['evening', 'April']=>['Sunday', 'weekend']
 220   0.803        ['Sunday']=>['weekend']
 221   0.797        ['Sunday', 'morning']=>['weekend']
 222   0.792        ['July', 'morning']=>['weekday']
 223   0.789        ['Sunday', 'October', 'morning']=>['weekend']
 224   0.788        ['Monday', 'weekend']=>['April']
 225   0.769        ['weekend', 'May', 'morning']=>['Wednesday']
 226   0.756        ['August', 'Friday']=>['weekend']
 227   0.748        ['Monday', 'weekend', 'morning']=>['April']
 228   0.746        ['July']=>['weekday']
 229   0.738        ['August', 'Wednesday']=>['afternoon']
 230   0.738        ['August', 'Wednesday', 'weekday']=>['afternoon']
 231   0.738        ['August', 'Wednesday']=>['afternoon', 'weekday']
 232   0.736        ['Sunday', 'evening']=>['weekend']
 233   0.734        ['June', 'afternoon']=>['weekday']
 234   0.733        ['June']=>['weekday']
 235   0.733        ['May', 'afternoon', 'weekday']=>['Thursday']
 236   0.732        ['May', 'weekday']=>['Thursday']
 237   0.731        ['June', 'morning']=>['weekday']
 238   0.723        ['evening', 'January']=>['weekday']
 239   0.723        ['November', 'Friday', 'morning']=>['weekday']
 240   0.722        ['evening', 'December']=>['weekday']
 241   0.720        ['evening', 'Saturday']=>['weekend']
 242   0.720        ['March', 'morning']=>['weekday']
 243   0.720        ['March']=>['weekday']
 244   0.718        ['afternoon', 'Wednesday']=>['weekday']
 245   0.715        ['March', 'afternoon']=>['weekday']
 246   0.712        ['August', 'Friday', 'weekday']=>['morning']
 247   0.709        ['May', 'weekday', 'morning']=>['Thursday']
 248   0.705        ['Sunday', 'October']=>['weekend']
 249   0.701        ['weekend', 'May']=>['Wednesday']
