index  confidence   rules
 151   1.000        ['Sunday', 'February', 'afternoon']=>['weekend']
 152   1.000        ['weekend', 'evening', 'Friday']=>['November']
 153   1.000        ['August', 'morning', 'Tuesday']=>['weekend']
 154   1.000        ['December', 'Thursday', 'afternoon']=>['weekday']
 155   1.000        ['December', 'Friday', 'afternoon']=>['weekday']
 156   1.000        ['July', 'morning', 'Monday']=>['weekday']
 157   1.000        ['June', 'Thursday', 'afternoon']=>['weekday']
 158   1.000        ['September', 'Friday', 'afternoon']=>['weekday']
 159   1.000        ['Thursday', 'December', 'evening']=>['weekday']
 160   1.000        ['Sunday', 'April', 'morning']=>['weekend']
 161   1.000        ['February', 'Thursday', 'afternoon']=>['weekday']
 162   1.000        ['February', 'Friday', 'afternoon']=>['weekday']
 163   1.000        ['afternoon', 'October', 'Monday']=>['weekday']
 164   1.000        ['December', 'morning', 'Tuesday']=>['weekday']
 165   1.000        ['Thursday', 'February', 'evening']=>['weekday']
 166   1.000        ['December', 'afternoon', 'Wednesday']=>['weekday']
 167   1.000        ['August', 'afternoon', 'Wednesday']=>['weekday']
 168   1.000        ['May', 'Thursday', 'afternoon']=>['weekday']
 169   1.000        ['Thursday', 'weekend', 'morning']=>['November']
 170   1.000        ['Tuesday', 'August', 'afternoon']=>['weekend']
 171   1.000        ['evening', 'Friday', 'March']=>['weekday']
 172   1.000        ['Sunday', 'morning', 'September']=>['weekday']
 173   1.000        ['July', 'afternoon', 'Monday']=>['weekday']
 174   1.000        ['Thursday', 'morning', 'June']=>['weekday']
 175   1.000        ['January', 'morning', 'Tuesday']=>['weekday']
 176   1.000        ['Thursday', 'afternoon', 'March']=>['weekday']
 177   1.000        ['Tuesday', 'February', 'afternoon']=>['weekday']
 178   1.000        ['Thursday', 'January', 'afternoon']=>['weekday']
 179   1.000        ['morning', 'Tuesday', 'March']=>['weekday']
 180   1.000        ['Tuesday', 'December', 'afternoon']=>['weekday']
 181   1.000        ['Saturday', 'morning', 'September']=>['weekday']
 182   0.986        ['weekend', 'evening', 'April']=>['Sunday']
 183   0.980        ['evening', 'Monday']=>['weekday']
 184   0.932        ['Thursday', 'morning']=>['weekday']
 185   0.931        ['Thursday', 'afternoon']=>['weekday']
 186   0.929        ['Thursday']=>['weekday']
 187   0.908        ['Saturday', 'morning']=>['weekend']
 188   0.894        ['morning', 'Monday']=>['weekday']
 189   0.893        ['February', 'evening']=>['weekday']
 190   0.893        ['Monday']=>['weekday']
 191   0.890        ['September', 'afternoon']=>['weekday']
 192   0.889        ['afternoon', 'Monday']=>['weekday']
 193   0.884        ['Saturday']=>['weekend']
 194   0.884        ['September']=>['weekday']
 195   0.882        ['Friday', 'afternoon']=>['weekday']
 196   0.881        ['morning', 'Tuesday']=>['weekday']
